City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,16.11,light rain
1,Nome,US,64.5011,-165.4064,28.47,74,90,9.22,overcast clouds
2,Busselton,AU,-33.65,115.3333,48.09,81,38,10.89,scattered clouds
3,Souillac,MU,-20.5167,57.5167,73.78,73,75,11.5,broken clouds
4,Avarua,CK,-21.2078,-159.775,75.25,83,92,3.44,overcast clouds
5,Hami,CN,42.8,93.45,64.74,36,77,23.13,broken clouds
6,Sinop,TR,41.7711,34.8709,52.23,87,61,3.44,broken clouds
7,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,75,11.5,broken clouds
8,Cabo San Lucas,MX,22.8909,-109.9124,80.91,73,1,0.0,clear sky
9,Vaini,TO,-21.2,-175.2,71.76,100,40,8.05,scattered clouds
10,Gornopravdinsk,RU,60.05,69.9,33.75,88,92,9.1,overcast clouds
11,Shingu,JP,33.7333,135.9833,65.66,80,0,7.74,clear sky
12,Rikitea,PF,-23.1203,-134.9692,73.06,73,6,18.34,clear sky
13,Moron,AR,-34.6534,-58.6198,71.92,39,0,8.55,clear sky
14,Port Alfred,ZA,-33.5906,26.891,65.46,82,51,14.38,broken clouds
15,Atuona,PF,-9.8,-139.0333,78.04,71,65,21.16,broken clouds
16,Kapaa,US,22.0752,-159.319,71.92,95,90,1.01,light rain
17,Dikson,RU,73.5069,80.5464,31.59,76,100,18.75,overcast clouds
18,Verkh-Usugli,RU,52.7,115.1667,27.7,72,21,1.21,few clouds
19,Ushuaia,AR,-54.8,-68.3,38.82,81,90,17.27,light intensity drizzle
20,Hamilton,US,39.1834,-84.5333,75.07,56,89,1.01,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,61.9,80,100,6.42,overcast clouds
22,Tocopilla,CL,-22.092,-70.1979,68.32,64,14,10.87,few clouds
23,Cherskiy,RU,68.75,161.3,4.62,95,19,6.73,few clouds
24,Flin Flon,CA,54.7682,-101.865,55.24,67,20,9.22,few clouds
25,Bluff,NZ,-46.6,168.3333,46.8,84,100,15.43,overcast clouds
26,Victoria,HK,22.2855,114.1577,85.96,81,2,4.0,light rain
27,Cortez,US,37.3489,-108.5859,50.52,92,75,3.44,broken clouds
28,Bredasdorp,ZA,-34.5322,20.0403,57.27,84,99,7.31,overcast clouds
29,Uhlirske Janovice,CZ,49.8802,15.0648,63.72,52,13,7.4,few clouds
30,Leningradskiy,RU,69.3833,178.4167,20.01,94,100,6.82,light snow
31,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,75,24.16,light rain
32,Katsuura,JP,35.1333,140.3,68.18,74,61,14.79,broken clouds
33,Mataura,NZ,-46.1927,168.8643,46.47,99,99,2.1,overcast clouds
34,Istanbul,TR,41.0351,28.9833,62.06,77,75,17.27,broken clouds
35,San Patricio,US,28.017,-97.5169,77.09,79,100,9.35,light rain
36,San Andres,CO,12.5847,-81.7006,86.02,74,20,11.5,few clouds
37,Angoche,MZ,-16.2325,39.9086,77.22,74,1,6.4,clear sky
38,Pergamino,AR,-33.89,-60.5736,75.25,25,0,10.83,clear sky
39,Mnogovershinnyy,RU,53.9353,139.9242,34.56,76,4,5.59,clear sky
40,Sanmenxia,CN,34.7747,111.1814,69.1,87,24,6.98,light rain
41,Tevaitoa,PF,-16.7833,-151.5,78.94,72,54,18.72,light rain
42,Saskylakh,RU,71.9167,114.0833,15.17,98,87,3.58,overcast clouds
43,Bethel,US,41.3712,-73.414,64.54,67,1,11.5,clear sky
44,Darab,IR,28.7519,54.5444,84.79,15,14,3.6,few clouds
45,Albany,US,42.6001,-73.9662,62.15,62,3,9.75,clear sky
46,Kupang,ID,-10.1667,123.5833,77.88,82,20,6.51,few clouds
47,Castro,BR,-24.7911,-50.0119,70.48,76,98,9.17,heavy intensity rain
48,Teknaf,BD,20.8624,92.3058,80.82,87,14,5.35,light rain
49,Mecayapan,MX,18.2167,-94.8333,81.5,73,100,0.78,overcast clouds
50,Severo-Kurilsk,RU,50.6789,156.125,49.77,97,100,13.51,overcast clouds
51,Juneau,US,58.3019,-134.4197,46.45,93,90,4.0,light rain
52,Upernavik,GL,72.7868,-56.1549,35.4,70,96,27.6,overcast clouds
53,Esperance,AU,-33.8667,121.9,58.84,87,90,15.12,overcast clouds
54,Shenjiamen,CN,29.9576,122.298,73.22,71,0,5.12,clear sky
55,Port-Gentil,GA,-0.7193,8.7815,80.56,78,75,11.5,broken clouds
56,Torbay,CA,47.6666,-52.7314,63.88,98,90,8.05,fog
57,East London,ZA,-33.0153,27.9116,67.14,88,20,17.27,light rain
58,Sakakah,SA,29.9697,40.2064,99.97,11,0,11.41,clear sky
59,Kodiak,US,57.79,-152.4072,42.31,75,90,9.22,overcast clouds
60,Butaritari,KI,3.0707,172.7902,81.05,77,100,11.25,overcast clouds
61,Barrow,US,71.2906,-156.7887,30.22,86,90,23.02,snow
62,Prince Rupert,CA,54.3161,-130.3201,49.69,80,90,17.27,moderate rain
63,Airai,TL,-8.9266,125.4092,60.98,76,88,1.21,overcast clouds
64,Kavaratti,IN,10.5669,72.642,82.38,80,27,14.41,scattered clouds
65,Christchurch,NZ,-43.5333,172.6333,44.02,87,64,2.3,broken clouds
66,Puerto Ayora,EC,-0.7393,-90.3518,73.36,83,89,10.11,overcast clouds
67,Naron,ES,43.5167,-8.1528,69.04,94,99,3.6,overcast clouds
68,Inhambane,MZ,-23.865,35.3833,77.0,69,20,5.99,few clouds
69,Isangel,VU,-19.55,169.2667,77.11,78,100,6.91,overcast clouds
70,New Norfolk,AU,-42.7826,147.0587,55.92,79,100,2.04,light rain
71,Tuatapere,NZ,-46.1333,167.6833,46.81,86,100,3.89,overcast clouds
72,Sao Filipe,CV,14.8961,-24.4956,79.52,73,69,4.05,broken clouds
73,Norton Shores,US,43.1689,-86.2639,74.12,60,1,3.0,clear sky
74,Gorgan,IR,36.8387,54.4348,69.76,73,75,11.5,haze
75,Jamestown,US,42.097,-79.2353,63.01,72,4,1.99,clear sky
76,San Ramon,US,37.7799,-121.978,72.91,39,1,0.0,clear sky
77,Nuuk,GL,64.1835,-51.7216,38.01,48,75,24.16,broken clouds
78,Hilton Head Island,US,32.2163,-80.7526,86.0,73,1,0.0,clear sky
79,Saint George,US,37.1041,-113.5841,69.35,32,1,1.99,clear sky
80,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,75,17.27,broken clouds
81,Mecca,SA,21.4267,39.8261,89.65,38,39,6.46,scattered clouds
82,Coral Springs,US,26.2712,-80.2706,87.01,75,1,3.0,clear sky
83,Mar Del Plata,AR,-38.0023,-57.5575,62.62,60,0,7.0,clear sky
84,Satipo,PE,-11.2522,-74.6386,92.59,34,4,2.77,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,11.5,scattered clouds
86,Mangai,CD,-4.05,19.5333,81.95,61,79,2.15,broken clouds
87,Ancud,CL,-41.8697,-73.8203,49.53,94,100,25.68,moderate rain
88,Olkhovka,RU,53.2115,60.6069,40.64,87,100,6.8,overcast clouds
89,Pacific Grove,US,36.6177,-121.9166,75.63,71,1,3.44,clear sky
