City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ariquemes,BR,2021-05-23 22:47:00,-9.9133,-63.0408,74.8,96,95,2.86
1,Bredasdorp,ZA,2021-05-23 22:47:01,-34.5322,20.0403,59.29,46,58,6.73
2,Barrow,US,2021-05-23 22:45:03,71.2906,-156.7887,33.82,80,90,16.11
3,Bengkulu,ID,2021-05-23 22:44:20,-3.8004,102.2655,75.45,89,87,4.23
4,Port Alfred,ZA,2021-05-23 22:47:01,-33.5906,26.891,65.17,35,81,9.66
5,Cherskiy,RU,2021-05-23 22:45:10,68.75,161.3,44.56,50,11,5.99
6,Airai,TL,2021-05-23 22:47:02,-8.9266,125.4092,60.71,65,61,2.3
7,Arraial Do Cabo,BR,2021-05-23 22:47:03,-22.9661,-42.0278,75.24,78,100,7.76
8,Saint-Philippe,RE,2021-05-23 22:47:03,-21.3585,55.7679,69.35,80,95,13.38
9,Nichinan,JP,2021-05-23 22:47:04,31.6,131.3667,68.27,91,100,4.52
10,Albany,US,2021-05-23 22:43:40,42.6001,-73.9662,67.87,75,98,7.4
11,Ayacucho,PE,2021-05-23 22:47:16,-13.1583,-74.2239,59.68,60,52,5.21
12,Narsaq,GL,2021-05-23 22:47:16,60.9167,-46.05,43.02,46,100,13.6
13,Zarichne,UA,2021-05-23 22:47:16,51.8126,26.129,50.04,83,100,4.23
14,Punta Arenas,CL,2021-05-23 22:44:17,-53.15,-70.9167,37.51,88,40,10.94
15,Kavaratti,IN,2021-05-23 22:46:23,10.5669,72.642,83.12,74,98,8.41
16,Chokurdakh,RU,2021-05-23 22:47:17,70.6333,147.9167,27.66,95,94,3.13
17,Emerald,AU,2021-05-23 22:47:18,-23.5333,148.1667,63.34,59,6,12.66
18,Jamestown,US,2021-05-23 22:47:18,42.097,-79.2353,78.12,83,90,8.05
19,Vieste,IT,2021-05-23 22:47:19,41.8825,16.175,63.1,81,52,2.57
20,Rikitea,PF,2021-05-23 22:47:30,-23.1203,-134.9692,74.46,68,57,3.24
21,Katsuura,JP,2021-05-23 22:45:37,35.1333,140.3,71.19,77,89,2.28
22,Ushuaia,AR,2021-05-23 22:45:01,-54.8,-68.3,46.06,71,75,11.5
23,Kjopsvik,NO,2021-05-23 22:47:31,68.097,16.3742,43.18,71,100,6.51
24,Victoria,HK,2021-05-23 22:45:25,22.2855,114.1577,86.97,84,41,1.01
25,Oxapampa,PE,2021-05-23 22:47:32,-10.5775,-75.4017,59.86,99,40,1.34
26,Dikson,RU,2021-05-23 22:47:33,73.5069,80.5464,27.73,93,100,16.22
27,Nanortalik,GL,2021-05-23 22:47:34,60.1432,-45.2371,36.91,65,100,7.25
28,Bolivar,US,2021-05-23 22:47:45,37.6145,-93.4105,83.16,89,85,7.58
29,Tuktoyaktuk,CA,2021-05-23 22:47:57,69.4541,-133.0374,33.8,86,75,11.5
30,Ilulissat,GL,2021-05-23 22:47:57,69.2167,-51.1,42.82,33,20,10.36
31,Hithadhoo,MV,2021-05-23 22:47:58,-0.6,73.0833,83.79,70,95,11.86
32,Castro,BR,2021-05-23 22:45:21,-24.7911,-50.0119,50.83,56,2,7.92
33,Pacific Grove,US,2021-05-23 22:46:50,36.6177,-121.9166,75.16,78,1,4.0
34,Constitucion,CL,2021-05-23 22:45:03,-35.3333,-72.4167,54.25,77,58,9.73
35,Moroni,KM,2021-05-23 22:47:59,-11.7022,43.2551,75.85,70,5,13.2
36,Cayenne,GF,2021-05-23 22:45:30,4.9333,-52.3333,78.1,90,75,9.42
37,Busselton,AU,2021-05-23 22:48:00,-33.65,115.3333,44.1,61,84,17.63
38,Mlimba,TZ,2021-05-23 22:48:00,-8.8,35.8167,64.56,88,72,3.83
39,Maldonado,UY,2021-05-23 22:48:12,-34.6667,-54.9167,56.59,90,100,26.64
40,Bomet,KE,2021-05-23 22:48:12,-0.7813,35.3416,56.01,98,91,2.98
41,Maxixe,MZ,2021-05-23 22:48:24,-23.8597,35.3472,64.13,69,0,7.87
42,Kodiak,US,2021-05-23 22:48:35,57.79,-152.4072,53.11,62,1,5.75
43,Husavik,IS,2021-05-23 22:48:47,66.0449,-17.3389,40.91,96,100,7.67
44,Rey Bouba,CM,2021-05-23 22:48:59,8.6724,14.1786,83.28,50,93,3.87
45,Vilyuysk,RU,2021-05-23 22:49:10,63.7553,121.6247,47.75,36,12,4.92
46,Eureka,US,2021-05-23 22:49:22,40.8021,-124.1637,73.67,63,11,5.01
47,Lodwar,KE,2021-05-23 22:49:46,3.1191,35.5973,85.3,43,50,14.12
48,Elizabeth City,US,2021-05-23 22:49:46,36.2946,-76.2511,91.45,33,1,10.36
49,Athens,GR,2021-05-23 22:46:03,37.9795,23.7162,72.37,59,0,1.99
50,Tiksi,RU,2021-05-23 22:49:47,71.6872,128.8694,33.87,78,60,10.74
51,Atuona,PF,2021-05-23 22:49:47,-9.8,-139.0333,79.77,79,30,19.55
52,Yellowknife,CA,2021-05-23 22:49:48,62.456,-114.3525,63.12,42,75,7.0
53,Butaritari,KI,2021-05-23 22:49:48,3.0707,172.7902,82.09,80,73,18.43
54,Blagoyevo,RU,2021-05-23 22:49:48,63.3667,47.9167,42.66,69,97,7.56
55,Kalmunai,LK,2021-05-23 22:49:49,7.4167,81.8167,79.29,82,83,4.79
56,Farsund,NO,2021-05-23 22:49:49,58.0948,6.8047,46.94,80,86,4.07
57,Saint George,US,2021-05-23 22:45:14,37.1041,-113.5841,79.27,13,1,5.01
58,Zhangye,CN,2021-05-23 22:50:01,38.9342,100.4517,52.84,24,1,3.83
59,Carnarvon,AU,2021-05-23 22:50:02,-24.8667,113.6333,57.27,100,75,5.75
60,Tabat,ID,2021-05-23 22:50:04,-2.635,115.2274,74.41,98,100,0.2
61,Kushmurun,KZ,2021-05-23 22:50:16,52.4503,64.6311,70.88,31,9,7.54
62,Formosa,AR,2021-05-23 22:48:11,-26.1775,-58.1781,58.98,72,0,8.05
63,Dobele,LV,2021-05-23 22:50:16,56.625,23.2786,44.15,96,31,8.46
64,Hofn,IS,2021-05-23 22:50:17,64.2539,-15.2082,41.09,82,85,16.22
65,Pevek,RU,2021-05-23 22:48:52,69.7008,170.3133,31.26,82,13,5.48
66,Hermanus,ZA,2021-05-23 22:50:17,-34.4187,19.2345,59.81,53,60,7.96
67,Bathsheba,BB,2021-05-23 22:50:18,13.2167,-59.5167,81.21,77,40,16.17
68,Sola,VU,2021-05-23 22:50:18,-13.8833,167.55,79.47,83,90,4.61
69,Puerto Ayora,EC,2021-05-23 22:50:19,-0.7393,-90.3518,80.56,85,68,7.0
70,Mahebourg,MU,2021-05-23 22:50:30,-20.4081,57.7,70.09,88,40,3.44
71,Parnu,EE,2021-05-23 22:50:31,58.3859,24.4971,48.99,95,54,10.22
72,Severo-Kurilsk,RU,2021-05-23 22:50:31,50.6789,156.125,46.33,63,35,10.09
73,Georgetown,MY,2021-05-23 22:50:32,5.4112,100.3354,82.89,86,20,5.01
74,Road Town,VG,2021-05-23 22:49:14,18.4167,-64.6167,77.09,94,40,3.44
75,Tripoli,LY,2021-05-23 22:46:39,32.8752,13.1875,73.74,51,16,18.28
76,Shubarkuduk,KZ,2021-05-23 22:50:33,49.1447,56.4872,69.51,31,6,7.38
